SID,Age,Sex,Language,Location,Experimenter,In_full_datatset,Knower_level,Task_item,Response,Correct,Notes
022719-SW,3.564681725,M,English,Beaufort,RMS,1,2,5,3,0,
022719-SW,3.564681725,M,English,Beaufort,RMS,1,2,3,4,1,
022719-SW,3.564681725,M,English,Beaufort,RMS,1,2,2,3,1,
022719-SW,3.564681725,M,English,Beaufort,RMS,1,2,3,4,1,
022719-SW,3.564681725,M,English,Beaufort,RMS,1,2,4,6,0,
022719-SW,3.564681725,M,English,Beaufort,RMS,1,2,1,4,0,
022719-SW,3.564681725,M,English,Beaufort,RMS,1,2,5,6,1,
030419-OH,4.076659822,M,English,Lighthouse,AP,1,2,1,2,1,
030419-OH,4.076659822,M,English,Lighthouse,AP,1,2,3,3,0,
030419-OH,4.076659822,M,English,Lighthouse,AP,1,2,5,3,0,
030419-OH,4.076659822,M,English,Lighthouse,AP,1,2,2,3,1,
030419-OH,4.076659822,M,English,Lighthouse,AP,1,2,4,4,0,
030419-OH,4.076659822,M,English,Lighthouse,AP,1,2,3,3,0,
030419-OH,4.076659822,M,English,Lighthouse,AP,1,2,2,4,0,
030419-OH,4.076659822,M,English,Lighthouse,AP,1,2,5,6,1,
030419-OH,4.076659822,M,English,Lighthouse,AP,1,2,1,4,0,
030419-OH,4.076659822,M,English,Lighthouse,AP,1,2,4,6,0,
030519-OB1,3.540041068,M,English,Puddleduck,AP,1,2,1,1,0,
030519-OB1,3.540041068,M,English,Puddleduck,AP,1,2,3,3,0,
030519-OB1,3.540041068,M,English,Puddleduck,AP,1,2,5,2 fingers,0,
030519-OB1,3.540041068,M,English,Puddleduck,AP,1,2,4,2 fingers,0,
030519-OB1,3.540041068,M,English,Puddleduck,AP,1,2,2,NR,0,
030519-OB1,3.540041068,M,English,Puddleduck,AP,1,2,5,"""nothing""",0,
030519-OB1,3.540041068,M,English,Puddleduck,AP,1,2,NA,NA,NA,
030519-OB1,3.540041068,M,English,Puddleduck,AP,1,2,NA,NA,NA,
030519-OB1,3.540041068,M,English,Puddleduck,AP,1,2,NA,NA,NA,
030519-OB1,3.540041068,M,English,Puddleduck,AP,1,2,NA,NA,NA,
030519-OB2,3.496235455,M,English,Puddleduck,AP,1,2,1,2,1,
030519-OB2,3.496235455,M,English,Puddleduck,AP,1,2,3,5,0,
030519-OB2,3.496235455,M,English,Puddleduck,AP,1,2,5,3,0,
030519-OB2,3.496235455,M,English,Puddleduck,AP,1,2,4,4,0,
030519-OB2,3.496235455,M,English,Puddleduck,AP,1,2,2,2,0,
030519-OB2,3.496235455,M,English,Puddleduck,AP,1,2,5,5,0,
030519-OB2,3.496235455,M,English,Puddleduck,AP,1,2,3,4,1,
030519-OB2,3.496235455,M,English,Puddleduck,AP,1,2,1,5,0,
030519-OB2,3.496235455,M,English,Puddleduck,AP,1,2,4,4,0,
030519-OB2,3.496235455,M,English,Puddleduck,AP,1,2,2,2,0,
030519-K,3.353867214,F,English,Puddleduck,AP,1,1,1,NR,0,
030519-K,3.353867214,F,English,Puddleduck,AP,1,1,3,NR,0,
030519-K,3.353867214,F,English,Puddleduck,AP,1,1,5,3 fingers,0,
030519-K,3.353867214,F,English,Puddleduck,AP,1,1,4,10 fingers,0,
030519-K,3.353867214,F,English,Puddleduck,AP,1,1,2,NR,0,
030519-K,3.353867214,F,English,Puddleduck,AP,1,1,5,5,0,
030519-K,3.353867214,F,English,Puddleduck,AP,1,1,3,NR,0,
030519-K,3.353867214,F,English,Puddleduck,AP,1,1,1,2,1,
030519-K,3.353867214,F,English,Puddleduck,AP,1,1,4,NR,0,
030519-K,3.353867214,F,English,Puddleduck,AP,1,1,2,3,1,
022819-HP,3.58110883,F,English,Tigger Too,RMS,1,3,1,2,1,gave answers right away
022819-HP,3.58110883,F,English,Tigger Too,RMS,1,3,3,6,0,
022819-HP,3.58110883,F,English,Tigger Too,RMS,1,3,4,9,0,
022819-HP,3.58110883,F,English,Tigger Too,RMS,1,3,2,6,0,
022819-HP,3.58110883,F,English,Tigger Too,RMS,1,3,5,1,0,
022819-HP,3.58110883,F,English,Tigger Too,RMS,1,3,2,6,0,
022819-HP,3.58110883,F,English,Tigger Too,RMS,1,3,3,1,0,
022819-HP,3.58110883,F,English,Tigger Too,RMS,1,3,5,6,1,
022819-HP,3.58110883,F,English,Tigger Too,RMS,1,3,4,2,0,
022819-HP,3.58110883,F,English,Tigger Too,RMS,1,3,1,2,1,
022819-ZF,3.394934976,M,English,Tigger Too,RMS,1,2,1,4,0,
022819-ZF,3.394934976,M,English,Tigger Too,RMS,1,2,3,6,0,
022819-ZF,3.394934976,M,English,Tigger Too,RMS,1,2,4,9,0,
022819-ZF,3.394934976,M,English,Tigger Too,RMS,1,2,5,9,0,
022819-ZF,3.394934976,M,English,Tigger Too,RMS,1,2,2,4,0,
022819-ZF,3.394934976,M,English,Tigger Too,RMS,1,2,2,3,1,
022819-ZF,3.394934976,M,English,Tigger Too,RMS,1,2,3,9,0,
022819-ZF,3.394934976,M,English,Tigger Too,RMS,1,2,1,4,0,
022819-ZF,3.394934976,M,English,Tigger Too,RMS,1,2,5,6,1,
022819-ZF,3.394934976,M,English,Tigger Too,RMS,1,2,4,9,0,
030719- MC,3.501711157,F,English,Tigger Too,RMS,0,Subset,1,2,1,did about half on hands
030719- MC,3.501711157,F,English,Tigger Too,RMS,0,Subset,4,5,1,
030719- MC,3.501711157,F,English,Tigger Too,RMS,0,Subset,5,6,1,
030719- MC,3.501711157,F,English,Tigger Too,RMS,0,Subset,2,3,1,
030719- MC,3.501711157,F,English,Tigger Too,RMS,0,Subset,3,2,0,
030719- MC,3.501711157,F,English,Tigger Too,RMS,0,Subset,5,6,1,
030719- MC,3.501711157,F,English,Tigger Too,RMS,0,Subset,3,4,1,
030719- MC,3.501711157,F,English,Tigger Too,RMS,0,Subset,2,3,1,
030719- MC,3.501711157,F,English,Tigger Too,RMS,0,Subset,1,2,1,
030719- MC,3.501711157,F,English,Tigger Too,RMS,0,Subset,4,5,1,
030719-IS,3.764544832,M,English,Tigger Too,RMS,0,1,1,3,0,
030719-IS,3.764544832,M,English,Tigger Too,RMS,0,1,4,1,0,
030719-IS,3.764544832,M,English,Tigger Too,RMS,0,1,5,"1, 2",0,
030719-IS,3.764544832,M,English,Tigger Too,RMS,0,1,3,"1,2,3,4,5",0,
030719-IS,3.764544832,M,English,Tigger Too,RMS,0,1,4,1 and lunchbox,0,
030719-IS,3.764544832,M,English,Tigger Too,RMS,0,1,2,1 and lunchbox,0,
030719-IS,3.764544832,M,English,Tigger Too,RMS,0,1,3,1 and lunchbox,0,
030719-IS,3.764544832,M,English,Tigger Too,RMS,0,1,NA,NA,#VALUE!,
030719-IS,3.764544832,M,English,Tigger Too,RMS,0,1,NA,NA,#VALUE!,
030719-IS,3.764544832,M,English,Tigger Too,RMS,0,1,NA,NA,#VALUE!,
030719-SG,3.441478439,F,English,Tigger Too,RMS,0,2,1,3,0,
030719-SG,3.441478439,F,English,Tigger Too,RMS,0,2,2,1,0,
030719-SG,3.441478439,F,English,Tigger Too,RMS,0,2,4,3,0,
030719-SG,3.441478439,F,English,Tigger Too,RMS,0,2,3,4,1,
030719-SG,3.441478439,F,English,Tigger Too,RMS,0,2,5,6,1,
030719-SG,3.441478439,F,English,Tigger Too,RMS,0,2,2,1,0,
030719-SG,3.441478439,F,English,Tigger Too,RMS,0,2,4,3,0,
030719-SG,3.441478439,F,English,Tigger Too,RMS,0,2,5,5,0,
030719-SG,3.441478439,F,English,Tigger Too,RMS,0,2,1,2 fingers,0,
030719-SG,3.441478439,F,English,Tigger Too,RMS,0,2,3,6,0,
030419-H,3.89596167,F,English,Lighthouse,RMS,1,3,1,8,0,
030419-H,3.89596167,F,English,Lighthouse,RMS,1,3,3,7,0,
030419-H,3.89596167,F,English,Lighthouse,RMS,1,3,5,8,0,
030419-H,3.89596167,F,English,Lighthouse,RMS,1,3,2,5,0,
030419-H,3.89596167,F,English,Lighthouse,RMS,1,3,4,3,0,
030419-H,3.89596167,F,English,Lighthouse,RMS,1,3,3,4,1,
030419-H,3.89596167,F,English,Lighthouse,RMS,1,3,2,4,0,
030419-H,3.89596167,F,English,Lighthouse,RMS,1,3,5,"4,4",0,
030419-H,3.89596167,F,English,Lighthouse,RMS,1,3,1,3,0,
030419-H,3.89596167,F,English,Lighthouse,RMS,1,3,4,7,0,
030419-A,2.767967146,F,English,Lighthouse,RMS,1,1,1,6,0,
030419-A,2.767967146,F,English,Lighthouse,RMS,1,1,3,1,0,
030419-A,2.767967146,F,English,Lighthouse,RMS,1,1,5,6,1,
030419-A,2.767967146,F,English,Lighthouse,RMS,1,1,2,4,0,
030419-A,2.767967146,F,English,Lighthouse,RMS,1,1,4,5,1,
030419-A,2.767967146,F,English,Lighthouse,RMS,1,1,3,6,0,
030419-A,2.767967146,F,English,Lighthouse,RMS,1,1,2,7,0,
030419-A,2.767967146,F,English,Lighthouse,RMS,1,1,5,8,0,
030419-A,2.767967146,F,English,Lighthouse,RMS,1,1,1,7,0,
030419-A,2.767967146,F,English,Lighthouse,RMS,1,1,4,8,0,
030419-LM,3.255304586,F,English,Lighthouse,RMS,1,3,1,5,0,
030419-LM,3.255304586,F,English,Lighthouse,RMS,1,3,3,6,0,
030419-LM,3.255304586,F,English,Lighthouse,RMS,1,3,5,6,1,
030419-LM,3.255304586,F,English,Lighthouse,RMS,1,3,2,12,0,
030419-LM,3.255304586,F,English,Lighthouse,RMS,1,3,4,5,1,
030419-LM,3.255304586,F,English,Lighthouse,RMS,1,3,3,4,1,
030419-LM,3.255304586,F,English,Lighthouse,RMS,1,3,2,IDK,0,
030419-LM,3.255304586,F,English,Lighthouse,RMS,1,3,5,6,1,
030419-LM,3.255304586,F,English,Lighthouse,RMS,1,3,1,5,0,
030419-LM,3.255304586,F,English,Lighthouse,RMS,1,3,4,IDK,0,
022819-AM2,3.561943874,M,English,Tigger Too,RMS,1,CP,1,2,1,counted on fingers
022819-AM2,3.561943874,M,English,Tigger Too,RMS,1,CP,3,4,1,counted on fingers
022819-AM2,3.561943874,M,English,Tigger Too,RMS,1,CP,4,5,1,counted on fingers
022819-AM2,3.561943874,M,English,Tigger Too,RMS,1,CP,2,3,1,counted on fingers
022819-AM2,3.561943874,M,English,Tigger Too,RMS,1,CP,5,6,1,counted on fingers
022819-AM2,3.561943874,M,English,Tigger Too,RMS,1,CP,2,3,1,counted on fingers
022819-AM2,3.561943874,M,English,Tigger Too,RMS,1,CP,1,2,1,counted on fingers
022819-AM2,3.561943874,M,English,Tigger Too,RMS,1,CP,5,6,1,counted on fingers
022819-AM2,3.561943874,M,English,Tigger Too,RMS,1,CP,4,5,1,counted on fingers
022819-AM2,3.561943874,M,English,Tigger Too,RMS,1,CP,3,4,1,counted on fingers
030119-H,3.197809719,M,English,Tigger Too,AP,1,3,1,5,0,
030119-H,3.197809719,M,English,Tigger Too,AP,1,3,3,2,0,
030119-H,3.197809719,M,English,Tigger Too,AP,1,3,4,1,0,
030119-H,3.197809719,M,English,Tigger Too,AP,1,3,2,4 on fingers,0,
030119-H,3.197809719,M,English,Tigger Too,AP,1,3,5,2,0,
030119-H,3.197809719,M,English,Tigger Too,AP,1,3,3,1,0,
030119-H,3.197809719,M,English,Tigger Too,AP,1,3,1,3,0,
030119-H,3.197809719,M,English,Tigger Too,AP,1,3,4,2,0,
030119-H,3.197809719,M,English,Tigger Too,AP,1,3,5,"""that many""",0,
030119-H,3.197809719,M,English,Tigger Too,AP,1,3,2,4,0,
030119-B,3.879534565,F,English,Tigger Too,RMS,1,2,1,2,1,showed most responses on fingers
030119-B,3.879534565,F,English,Tigger Too,RMS,1,2,3,2 + 0,0,
030119-B,3.879534565,F,English,Tigger Too,RMS,1,2,5,20,0,
030119-B,3.879534565,F,English,Tigger Too,RMS,1,2,2,4,0,
030119-B,3.879534565,F,English,Tigger Too,RMS,1,2,4,5,1,
030119-B,3.879534565,F,English,Tigger Too,RMS,1,2,3,20,0,
030119-B,3.879534565,F,English,Tigger Too,RMS,1,2,1,2,1,
030119-B,3.879534565,F,English,Tigger Too,RMS,1,2,5,4,0,
030119-B,3.879534565,F,English,Tigger Too,RMS,1,2,4,5,1,
030119-B,3.879534565,F,English,Tigger Too,RMS,1,2,2,3,1,
