SID,Age,Sex,Language,Location,Experimenter,Coder,Exclude,Exclusion_reason,Knower_level,Task,Trial_number,Task_item,Response,Correct,Mem_check_1,Mem_check_2,Counted,Notes,Exclude_trial,Exclude_trial_reason, , , , , 
CopyPasteMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,0,ChangeMe,Give_N,4,NA,,HELP,NA,NA,,,,,,,,,
CopyPasteMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,0,ChangeMe,Give_N,5,NA,,HELP,NA,NA,,,,,,,,,
CopyPasteMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,0,ChangeMe,Give_N,6,NA,,HELP,NA,NA,,,,,,,,,
CopyPasteMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,0,ChangeMe,Give_N,7,NA,,HELP,NA,NA,,,,,,,,,
CopyPasteMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,0,ChangeMe,Give_N,8,NA,,HELP,NA,NA,,,,,,,,,
CopyPasteMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,0,ChangeMe,Give_N,9,NA,,HELP,NA,NA,,,,,,,,,
CopyPasteMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,0,ChangeMe,Give_N,10,NA,,HELP,NA,NA,,,,,,,,,
CopyPasteMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,0,ChangeMe,Give_N,11,NA,,HELP,NA,NA,,,,,,,,,
CopyPasteMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,0,ChangeMe,Give_N,12,NA,,HELP,NA,NA,,,,,,,,,
CopyPasteMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,0,ChangeMe,Give_N,13,NA,,HELP,NA,NA,,,,,,,,,
CopyPasteMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,0,ChangeMe,Highest_count,NA,NA,,NA,NA,NA,NA,,0,,,,,,
CopyPasteMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,0,ChangeMe,HC_error,NA,NA,,NA,NA,NA,NA,,,,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,SF,Training,0,1,1,0,0,NA,,,,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,SF,1,1,2,1,1,,NA,,,,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,SF,2,3,5,0,0,0,NA,,,,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,SF,3,5,6,1,0,0,NA,,,,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,SF,4,2,4,0,1,,NA,,,,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,SF,5,4,5,1,0,1,NA,,,,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,SF,6,3,4,1,1,,NA,,,,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,SF,7,5,7,0,0,0,NA,,,,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,SF,8,1,2,1,1,,NA,,,,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,SF,9,2,4,0,0,0,NA,,,,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,SF,10,4,5,1,0,1,NA,,,,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,Give_N,1,1,10,0,NA,NA,0,,,,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,Give_N,2,1,10,0,NA,NA,0,,,,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,Give_N,3,1,10,0,NA,NA,0,,,,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,Give_N,4,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,Give_N,5,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,Give_N,6,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,Give_N,7,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,Give_N,8,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,Give_N,9,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,Give_N,10,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,Give_N,11,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,Give_N,12,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,Give_N,13,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,Highest_count,NA,NA,3,NA,NA,NA,NA,,0,,,,,,
021319-SF,2.688569473,M,English,Adventure Days,AP,AP,1,Pilot,0,HC_error,NA,NA,3,NA,NA,NA,NA,,,,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,SF,Training,0,2,0,0,0,NA,,,,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,SF,1,1,3,0,0,0,NA,,,,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,SF,2,3,5,0,1,,NA,,,,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,SF,3,5,6,1,0,0,NA,,,,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,SF,4,2,3,1,0,0,NA,,,,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,SF,5,4,5,1,0,0,NA,,,,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,SF,6,3,5,0,1,,NA,,,,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,SF,7,5,7,0,0,0,NA,,,,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,SF,8,1,3,0,0,0,NA,,,,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,SF,9,2,3,1,0,0,NA,,,,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,SF,10,4,6,0,0,0,NA,,,,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,Give_N,1,1,10,0,NA,NA,1,,,,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,Give_N,2,1,10,0,NA,NA,1,,,,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,Give_N,3,1,10,0,NA,NA,1,,,,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,Give_N,4,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,Give_N,5,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,Give_N,6,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,Give_N,7,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,Give_N,8,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,Give_N,9,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,Give_N,10,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,Give_N,11,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,Give_N,12,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,Give_N,13,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,Highest_count,NA,NA,3,NA,NA,NA,NA,,0,,,,,,
021319-VA,2.488706366,F,English,Adventure Days,AP,SL,1,Pilot,0,HC_error,NA,NA,5,NA,NA,NA,NA,,,,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,SF,Training,0,1,1,0,0,NA,,,,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,SF,1,1,2,1,1,,NA,,,,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,SF,2,3,5,0,0,0,NA,,,,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,SF,3,5,6,1,0,0,NA,,,,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,SF,4,2,4,0,1,,NA,,,,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,SF,5,4,5,1,0,0,NA,,,,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,SF,6,3,4,1,0,1,NA,,,,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,SF,7,5,7,0,0,0,NA,,,,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,SF,8,1,3,0,1,,NA,,,,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,SF,9,2,3,1,1,,NA,,,,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,SF,10,4,6,0,0,0,NA,,,,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,Give_N,1,1,1,1,NA,NA,NA,,,,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,Give_N,2,2,5,0,NA,NA,1,,,,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,Give_N,3,1,1,1,NA,NA,NA,,,,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,Give_N,4,2,6,0,NA,NA,1,,,,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,Give_N,5,1,1,1,NA,NA,NA,,,,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,Give_N,6,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,Give_N,7,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,Give_N,8,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,Give_N,9,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,Give_N,10,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,Give_N,11,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,Give_N,12,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,Give_N,13,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,Highest_count,NA,NA,7,NA,NA,NA,NA,lined up bananas to encourage/aid counting,0,,,,,,
021319-EW,2.379192334,F,English,Adventure Days,AP,SL,1,Pilot,1,HC_error,NA,NA,11,NA,NA,NA,NA,,,,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,SF,Training,0,1,1,1,,NA,,,,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,SF,1,1,2,1,1,,NA,,,,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,SF,2,3,4,1,1,,NA,,,,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,SF,3,5,7,0,1,,NA,,,,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,SF,4,2,3,1,1,,NA,,,,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,SF,5,4,5,1,1,,NA,,,,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,SF,6,3,4,1,1,,NA,,,,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,SF,7,5,6,1,1,,NA,,,,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,SF,8,1,2,1,1,,NA,,,,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,SF,9,2,3,1,1,,NA,,,,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,SF,10,4,5,1,1,,NA,,,,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,Give_N,1,1,1,1,NA,NA,1,,,,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,Give_N,2,2,2,1,NA,NA,1,,,,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,Give_N,3,3,3,1,NA,NA,1,,,,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,Give_N,4,4,3,0,NA,NA,1,,,,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,Give_N,5,3,3,1,NA,NA,1,,,,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,Give_N,6,4,3,0,NA,NA,1,,,,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,Give_N,7,3,3,1,NA,NA,1,,,,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,Give_N,8,4,3,0,NA,NA,1,,,,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,Give_N,9,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,Give_N,10,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,Give_N,11,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,Give_N,12,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,Give_N,13,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,Highest_count,NA,NA,10,NA,NA,NA,NA,,0,,,,,,
021319-ZC,2.811772758,M,English,Adventure Days,AP,SL,1,Pilot,2,HC_error,NA,NA,1,NA,NA,NA,NA,,,,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,SF,Training,0,1,1,0,0,NA,,,,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,SF,1,1,2,1,0,0,NA,,,,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,SF,2,3,4,1,0,1,NA,,,,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,SF,3,5,7,0,0,0,NA,,,,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,SF,4,2,4,0,1,,NA,,,,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,SF,5,4,5,1,0,1,NA,,,,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,SF,6,3,4,1,0,1,NA,,,,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,SF,7,5,7,0,0,0,NA,,,,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,SF,8,1,2,1,1,,NA,,,,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,SF,9,2,4,0,1,,NA,,,,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,SF,10,4,6,0,1,,NA,,,,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,1,1,10,0,NA,NA,0,,,,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,2,1,10,0,NA,NA,1,,,,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,3,1,1,1,NA,NA,1,,,,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,4,2,2,1,NA,NA,1,,,,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,5,3,3,1,NA,NA,1,,,,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,6,4,10,0,NA,NA,1,,,,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,7,3,3,1,NA,NA,1,,,,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,8,4,2,0,NA,NA,1,,,,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,9,3,3,1,NA,NA,1,,,,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,10,4,8,0,NA,NA,,,,,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,11,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,12,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,13,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,Highest_count,NA,NA,6,NA,NA,NA,NA,counted to 13 earlier during Give-N,0,,,,,,
021919-AP,2.836413415,M,English,Northminster,AP,AP,1,Pilot,3,HC_error,NA,NA,10,NA,NA,NA,NA,,,,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,SF,Training,0,2,0,0,0,NA,,,,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,SF,1,1,3,0,1,,NA,,,,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,SF,2,3,5,0,1,,NA,,,,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,SF,3,5,7,0,0,0,NA,,,,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,SF,4,2,3,1,1,,NA,,,,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,SF,5,4,6,0,0,1,NA,,,,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,SF,6,3,5,0,1,,NA,,,,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,SF,7,5,7,0,0,1,NA,,,,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,SF,8,1,3,0,1,,NA,,,,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,SF,9,2,4,0,1,,NA,,,,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,SF,10,4,5,1,0,1,NA,,,,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,1,1,1,1,NA,NA,0,,,,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,2,2,2,1,NA,NA,0,,,,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,3,3,3,1,NA,NA,0,,,,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,4,4,5,0,NA,NA,0,,,,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,5,3,3,1,NA,NA,0,,,,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,6,4,6,0,NA,NA,0,,,,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,7,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,8,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,9,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,10,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,11,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,12,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,Give_N,13,NA,NA,NA,NA,NA,NA,,1,no data,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,Highest_count,NA,NA,2,NA,NA,NA,NA,,0,,,,,,
021919-MW,3.674195756,M,English,Northminster,AP,AP,1,Pilot,3,HC_error,NA,NA,4,NA,NA,NA,NA,,,,,,,,
021919-WD,3.991786448,M,English,Northminster,AP,AP,1,Pilot,CP,SF,Training,0,1,1,1,,NA,,,,,,,,
021919-WD,3.991786448,M,English,Northminster,AP,AP,1,Pilot,CP,SF,1,1,2,1,1,,NA,,,,,,,,
021919-WD,3.991786448,M,English,Northminster,AP,AP,1,Pilot,CP,SF,2,3,4,1,1,,NA,,,,,,,,
021919-WD,3.991786448,M,English,Northminster,AP,AP,1,Pilot,CP,SF,3,5,6,1,1,,NA,,,,,,,,
021919-WD,3.991786448,M,English,Northminster,AP,AP,1,Pilot,CP,SF,4,2,3,1,1,,NA,,,,,,,,
021919-WD,3.991786448,M,English,Northminster,AP,AP,1,Pilot,CP,SF,5,4,5,1,1,,NA,,,,,,,,
021919-WD,3.991786448,M,English,Northminster,AP,AP,1,Pilot,CP,SF,6,3,4,1,1,,NA,,,,,,,,
021919-WD,3.991786448,M,English,Northminster,AP,AP,1,Pilot,CP,SF,7,5,6,1,1,,NA,,,,,,,,
021919-WD,3.991786448,M,English,Northminster,AP,AP,1,Pilot,CP,SF,8,1,2,1,1,,NA,,,,,,,,
021919-WD,3.991786448,M,English,Northminster,AP,AP,1,Pilot,CP,SF,9,2,4,0,1,,NA,,,,,,,,
021919-WD,3.991786448,M,English,Northminster,AP,AP,1,Pilot,CP,SF,10,4,5,1,1,,NA,,,,,,,,
021919-WD,3.991786448,M,English,Northminster,AP,AP,1,Pilot,CP,Give_N,1,1,1,1,NA,NA,0,,,,,,,,
021919-WD,3.991786448,M,English,Northminster,AP,AP,1,Pilot,CP,Give_N,2,2,2,1,NA,NA,1,,,,,,,,
021919-WD,3.991786448,M,English,Northminster,AP,AP,1,Pilot,CP,Give_N,3,3,3,1,NA,NA,1,,,,,,,,
021919-WD,3.991786448,M,English,Northminster,AP,AP,1,Pilot,CP,Give_N,4,4,4,1,NA,NA,1,,,,,,,,
